len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf
1784.0;21.0;60.64776533333333;59.71977833333333;418.6;77.63557694932192;-10.009066237690549;99.0;;94.0;6.376401132880469;;0.19580078125;1.1009521484375;0.0445556640625;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;29.0;748.0;23.0;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;8.1;7.1;9.1;6.4;5.410722912668982;5.641553366417771;2.606783756211434;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;5.410722912668982;up;4;0.01;35.114362437107
1790.0;22.0;60.6477935;59.71968133333333;418.7;77.8117906876974;-4.368641017030718;99.0;;94.0;6.152049751782465;;0.0828857421875;1.0206298828125;0.1923828125;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;29.0;748.0;23.0;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;8.1;6.4;9.7;4.6;5.281724251008458;5.877370656196603;2.605542900454659;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;5.281724251008458;up;4;0.01;35.114362437107
1796.0;23.0;60.64782383333333;59.71957716666667;419.8;77.64464008190434;-6.422741923329207;99.0;;94.0;6.611441422779558;;0.109130859375;0.9525146484375;0.08154296875;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;29.0;748.0;23.0;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;7.6;5.9;9.7;7.0;4.948190093197288;5.838795010089773;2.601874480194213;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;4.948190093197288;up;4;0.01;35.114362437107
1803.0;23.0;60.647853833333336;59.719475;420.1;76.77189976849502;-9.35820464725056;99.0;;94.0;6.498702080322477;;0.16259765625;0.9598388671875;0.0291748046875;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;29.0;748.0;23.0;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;8.1;6.8;9.2;7.0;5.3327693838453625;5.516484126979128;2.661538703619292;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;5.3327693838453625;up;4;0.01;35.114362437107
1810.0;24.0;60.647882333333335;59.71936333333333;420.4;80.57158042100617;-3.804378241082811;99.0;;94.0;6.869810969408638;;0.06298828125;0.98828125;0.143798828125;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;29.0;748.0;23.0;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;8.1;7.2;7.7;7.0;5.337721115535806;4.928682154218872;2.6361450814583423;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;5.337721115535806;up;4;0.01;35.114362437107
1817.0;25.0;60.64791316666667;59.71924966666667;420.8;84.39604800522815;-1.466134799145104;99.0;;94.0;7.088849359630123;;0.02490234375;0.9765625;0.0941162109375;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;29.0;748.0;23.0;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;7.4;7.2;10.2;6.2;5.171843425283783;5.678003152040712;2.683853492488482;7.3;7.3;11.02;7.6;point_30%;7.3;7.6;7;0;0;0;-;0.0;0;0;up;0.0;0.0;5.171843425283783;up;4;0.01;35.114362437107
1824.0;25.0;60.6479415;59.71913233333333;420.4;81.46341988488288;-2.4322440068788698;99.0;;94.0;7.137271896967246;;0.044677734375;1.0006103515625;0.1334228515625;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;29.0;748.0;23.0;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;8.7;6.8;10.2;6.7;4.766213579428718;6.186503870015676;2.6310846150039673;7.3;7.3;11.02;7.6;point_30%;7.3;7.6;7;0;0;0;-;0.0;0;0;up;0.0;0.0;4.766213579428718;up;4;0.01;35.114362437107
1831.0;25.0;60.64797183333334;59.719021833333336;420.5;79.88436270628397;-5.31480187720004;99.0;;94.0;6.91078857711775;;0.106689453125;1.1253662109375;0.1649169921875;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;29.0;748.0;23.0;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;8.7;6.8;8.3;5.9;4.517414876028508;6.370953484551962;2.6273085917712375;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;4.517414876028508;up;4;0.01;35.114362437107
1838.0;25.0;60.64800266666666;59.7189105;420.8;81.82238257922744;-5.938938745046737;99.0;;94.0;6.977704734864435;;0.09912109375;0.9482421875;0.093505859375;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;29.0;748.0;23.0;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;7.6;6.6;7.9;5.9;4.35387957322477;6.176062634473133;2.6845189228632016;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;4.35387957322477;up;4;0.01;35.114362437107
1845.0;25.0;60.648029666666666;59.7187985;420.7;83.17127571004367;-5.050109035640224;99.0;;94.0;6.810600695359997;;0.090576171875;1.013671875;0.03125;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;29.0;748.0;23.0;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;6.8;6.6;8.8;5.8;4.342273641811009;5.63222039316866;2.667579269924639;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;4.342273641811009;up;4;0.01;35.114362437107
